u,i,ts,label,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7
0,3,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,6,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,6,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3,5,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,1,0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4,7,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,4,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,5,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6,6,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,3,0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7,6,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,3,4,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,5,4,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,4,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,6,4,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,4,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,5,4,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,4,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3,6,4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4,1,4,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4,7,4,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,4,4,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,7,4,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,0,4,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6,7,4,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,3,4,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7,5,4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,3,8,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,7,8,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,8,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,7,8,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,8,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,7,8,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,8,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3,7,8,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,1,8,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4,7,8,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,3,8,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,5,8,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6,0,8,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6,6,8,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,3,8,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7,7,8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,12,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,6,12,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,12,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5,12,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,4,12,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,5,12,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,12,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3,5,12,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,0,12,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4,5,12,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,3,12,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,7,12,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,0,12,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6,7,12,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,3,12,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7,6,12,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
