u,i,ts,label,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7
0,3,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,1,0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,4,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,3,0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3,4,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,4,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,4,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,4,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,1,4,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,4,4,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,0,4,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,3,4,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3,8,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,8,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,4,8,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,8,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,1,8,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,3,8,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6,0,8,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,3,8,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3,12,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,12,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,4,12,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,12,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,0,12,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,3,12,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6,0,12,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,3,12,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,3,16,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,16,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,16,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,16,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,0,16,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,0,16,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,0,16,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,0,16,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,3,20,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,20,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,20,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,20,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,3,20,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,0,20,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,0,20,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,0,20,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,24,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,24,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,24,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2,24,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,1,24,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,0,24,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,1,24,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7,0,24,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,28,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,28,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,28,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2,28,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,1,28,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,0,28,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,2,28,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
7,0,28,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,32,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
