u,i,ts,label,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10
0,2,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,2,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6,2,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,2,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,5,4,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,4,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,4,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,4,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2,4,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,2,4,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6,2,4,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,2,4,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,8,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,8,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,8,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2,8,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,8,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,8,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,2,8,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,12,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,12,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,12,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,12,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,4,12,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0,12,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,12,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,2,12,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,16,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,16,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,5,16,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,16,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0,16,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,16,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,16,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,2,16,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,20,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,4,20,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,5,20,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2,20,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,20,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,20,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,4,20,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7,0,20,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,24,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,4,24,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,24,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2,24,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,24,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,24,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,4,24,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7,0,24,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,28,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,5,28,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,28,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,28,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0,28,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,28,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,5,28,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7,0,28,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,32,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,32,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,32,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,32,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0,32,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,32,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,32,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,0,32,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,36,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,36,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,36,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,36,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0,36,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,36,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,36,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,0,36,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,40,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,40,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,40,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,40,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0,40,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,40,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,4,40,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7,1,40,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,44,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,44,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,44,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,4,44,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,4,44,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,5,44,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6,4,44,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7,5,44,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,48,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,48,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,48,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,4,48,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,4,48,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2,48,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,48,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,5,48,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,52,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,52,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
