,u,i,ts,label,idx
0,1,4,0.0,0.0,1
1,1,7,0.0,0.0,2
2,2,1,0.0,0.0,3
3,2,6,0.0,0.0,4
4,3,3,0.0,0.0,5
5,3,7,0.0,0.0,6
6,4,1,0.0,0.0,7
7,4,6,0.0,0.0,8
8,5,2,0.0,0.0,9
9,5,8,0.0,0.0,10
10,6,5,0.0,0.0,11
11,6,6,0.0,0.0,12
12,7,1,0.0,0.0,13
13,7,7,0.0,0.0,14
14,8,4,0.0,0.0,15
15,8,7,0.0,0.0,16
16,1,4,4.0,0.0,17
17,1,6,4.0,0.0,18
18,2,1,4.0,0.0,19
19,2,7,4.0,0.0,20
20,3,3,4.0,0.0,21
21,3,6,4.0,0.0,22
22,4,1,4.0,0.0,23
23,4,7,4.0,0.0,24
24,5,2,4.0,0.0,25
25,5,8,4.0,0.0,26
26,6,5,4.0,0.0,27
27,6,8,4.0,0.0,28
28,7,1,4.0,0.0,29
29,7,8,4.0,0.0,30
30,8,4,4.0,0.0,31
31,8,6,4.0,0.0,32
32,1,4,8.0,0.0,33
33,1,8,8.0,0.0,34
34,2,1,8.0,0.0,35
35,2,8,8.0,0.0,36
36,3,5,8.0,0.0,37
37,3,8,8.0,0.0,38
38,4,1,8.0,0.0,39
39,4,8,8.0,0.0,40
40,5,2,8.0,0.0,41
41,5,8,8.0,0.0,42
42,6,4,8.0,0.0,43
43,6,6,8.0,0.0,44
44,7,1,8.0,0.0,45
45,7,7,8.0,0.0,46
46,8,4,8.0,0.0,47
47,8,8,8.0,0.0,48
48,1,4,12.0,0.0,49
49,1,7,12.0,0.0,50
50,2,1,12.0,0.0,51
51,2,6,12.0,0.0,52
52,3,5,12.0,0.0,53
53,3,6,12.0,0.0,54
54,4,1,12.0,0.0,55
55,4,6,12.0,0.0,56
56,5,1,12.0,0.0,57
57,5,6,12.0,0.0,58
58,6,4,12.0,0.0,59
59,6,8,12.0,0.0,60
60,7,1,12.0,0.0,61
61,7,8,12.0,0.0,62
62,8,4,12.0,0.0,63
63,8,7,12.0,0.0,64
64,1,4,16.0,0.0,65
65,1,6,16.0,0.0,66
66,2,1,16.0,0.0,67
67,2,6,16.0,0.0,68
68,3,1,16.0,0.0,69
69,3,7,16.0,0.0,70
70,4,1,16.0,0.0,71
71,4,8,16.0,0.0,72
72,5,1,16.0,0.0,73
73,5,6,16.0,0.0,74
74,6,1,16.0,0.0,75
75,6,7,16.0,0.0,76
76,7,1,16.0,0.0,77
77,7,6,16.0,0.0,78
78,8,1,16.0,0.0,79
79,8,6,16.0,0.0,80
80,1,4,20.0,0.0,81
81,1,6,20.0,0.0,82
82,2,1,20.0,0.0,83
83,2,8,20.0,0.0,84
84,3,1,20.0,0.0,85
85,3,6,20.0,0.0,86
86,4,1,20.0,0.0,87
87,4,6,20.0,0.0,88
