,u,i,ts,label,idx
0,1,3,0.0,0.0,1
1,1,8,0.0,0.0,2
2,2,1,0.0,0.0,3
3,2,7,0.0,0.0,4
4,3,1,0.0,0.0,5
5,3,7,0.0,0.0,6
6,4,1,0.0,0.0,7
7,4,7,0.0,0.0,8
8,5,3,0.0,0.0,9
9,5,8,0.0,0.0,10
10,6,3,0.0,0.0,11
11,6,8,0.0,0.0,12
12,7,3,0.0,0.0,13
13,7,8,0.0,0.0,14
14,8,3,0.0,0.0,15
15,8,9,0.0,0.0,16
16,1,6,4.0,0.0,17
17,1,8,4.0,0.0,18
18,2,1,4.0,0.0,19
19,2,7,4.0,0.0,20
20,3,3,4.0,0.0,21
21,3,9,4.0,0.0,22
22,4,1,4.0,0.0,23
23,4,7,4.0,0.0,24
24,5,3,4.0,0.0,25
25,5,9,4.0,0.0,26
26,6,3,4.0,0.0,27
27,6,9,4.0,0.0,28
28,7,3,4.0,0.0,29
29,7,7,4.0,0.0,30
30,8,3,4.0,0.0,31
31,8,9,4.0,0.0,32
32,1,1,8.0,0.0,33
33,1,8,8.0,0.0,34
34,2,1,8.0,0.0,35
35,2,9,8.0,0.0,36
36,3,3,8.0,0.0,37
37,3,9,8.0,0.0,38
38,4,1,8.0,0.0,39
39,4,9,8.0,0.0,40
40,5,3,8.0,0.0,41
41,5,8,8.0,0.0,42
42,6,1,8.0,0.0,43
43,6,8,8.0,0.0,44
44,7,1,8.0,0.0,45
45,7,7,8.0,0.0,46
46,8,3,8.0,0.0,47
47,8,8,8.0,0.0,48
48,1,1,12.0,0.0,49
49,1,9,12.0,0.0,50
50,2,1,12.0,0.0,51
51,2,7,12.0,0.0,52
52,3,3,12.0,0.0,53
53,3,8,12.0,0.0,54
54,4,1,12.0,0.0,55
55,4,9,12.0,0.0,56
56,5,5,12.0,0.0,57
57,5,11,12.0,0.0,58
58,6,1,12.0,0.0,59
59,6,8,12.0,0.0,60
60,7,1,12.0,0.0,61
61,7,11,12.0,0.0,62
62,8,3,12.0,0.0,63
63,8,11,12.0,0.0,64
64,1,1,16.0,0.0,65
65,1,7,16.0,0.0,66
66,2,1,16.0,0.0,67
67,2,7,16.0,0.0,68
68,3,6,16.0,0.0,69
69,3,8,16.0,0.0,70
70,4,1,16.0,0.0,71
71,4,8,16.0,0.0,72
72,5,1,16.0,0.0,73
73,5,7,16.0,0.0,74
74,6,1,16.0,0.0,75
75,6,9,16.0,0.0,76
76,7,1,16.0,0.0,77
77,7,8,16.0,0.0,78
78,8,3,16.0,0.0,79
79,8,9,16.0,0.0,80
80,1,1,20.0,0.0,81
81,1,7,20.0,0.0,82
82,2,5,20.0,0.0,83
83,2,8,20.0,0.0,84
84,3,6,20.0,0.0,85
85,3,9,20.0,0.0,86
86,4,3,20.0,0.0,87
87,4,8,20.0,0.0,88
88,5,1,20.0,0.0,89
89,5,7,20.0,0.0,90
90,6,1,20.0,0.0,91
91,6,10,20.0,0.0,92
92,7,5,20.0,0.0,93
93,7,8,20.0,0.0,94
94,8,1,20.0,0.0,95
95,8,9,20.0,0.0,96
96,1,1,24.0,0.0,97
97,1,7,24.0,0.0,98
98,2,5,24.0,0.0,99
99,2,8,24.0,0.0,100
100,3,1,24.0,0.0,101
101,3,7,24.0,0.0,102
102,4,3,24.0,0.0,103
103,4,7,24.0,0.0,104
104,5,1,24.0,0.0,105
105,5,8,24.0,0.0,106
106,6,1,24.0,0.0,107
107,6,7,24.0,0.0,108
108,7,5,24.0,0.0,109
109,7,7,24.0,0.0,110
110,8,1,24.0,0.0,111
111,8,7,24.0,0.0,112
112,1,1,28.0,0.0,113
113,1,8,28.0,0.0,114
114,2,6,28.0,0.0,115
115,2,10,28.0,0.0,116
116,3,1,28.0,0.0,117
117,3,7,28.0,0.0,118
118,4,1,28.0,0.0,119
119,4,11,28.0,0.0,120
120,5,1,28.0,0.0,121
121,5,7,28.0,0.0,122
122,6,1,28.0,0.0,123
123,6,7,28.0,0.0,124
124,7,6,28.0,0.0,125
125,7,11,28.0,0.0,126
126,8,1,28.0,0.0,127
127,8,11,28.0,0.0,128
128,1,1,32.0,0.0,129
129,1,7,32.0,0.0,130
130,2,1,32.0,0.0,131
131,2,7,32.0,0.0,132
132,3,1,32.0,0.0,133
133,3,9,32.0,0.0,134
134,4,1,32.0,0.0,135
135,4,7,32.0,0.0,136
136,5,1,32.0,0.0,137
137,5,8,32.0,0.0,138
138,6,1,32.0,0.0,139
139,6,8,32.0,0.0,140
140,7,1,32.0,0.0,141
141,7,11,32.0,0.0,142
142,8,1,32.0,0.0,143
143,8,10,32.0,0.0,144
144,1,1,36.0,0.0,145
145,1,8,36.0,0.0,146
