,u,i,ts,label,idx
0,1,3,0.0,0.0,1
1,2,1,0.0,0.0,2
2,3,1,0.0,0.0,3
3,4,1,0.0,0.0,4
4,5,3,0.0,0.0,5
5,6,3,0.0,0.0,6
6,7,3,0.0,0.0,7
7,8,3,0.0,0.0,8
8,1,6,4.0,0.0,9
9,2,1,4.0,0.0,10
10,3,3,4.0,0.0,11
11,4,1,4.0,0.0,12
12,5,3,4.0,0.0,13
13,6,3,4.0,0.0,14
14,7,3,4.0,0.0,15
15,8,3,4.0,0.0,16
16,1,1,8.0,0.0,17
17,2,1,8.0,0.0,18
18,3,3,8.0,0.0,19
19,4,1,8.0,0.0,20
20,5,3,8.0,0.0,21
21,6,1,8.0,0.0,22
22,7,1,8.0,0.0,23
23,8,3,8.0,0.0,24
24,1,1,12.0,0.0,25
25,2,1,12.0,0.0,26
26,3,3,12.0,0.0,27
27,4,1,12.0,0.0,28
28,5,5,12.0,0.0,29
29,6,1,12.0,0.0,30
30,7,1,12.0,0.0,31
31,8,3,12.0,0.0,32
32,1,1,16.0,0.0,33
33,2,1,16.0,0.0,34
34,3,6,16.0,0.0,35
35,4,1,16.0,0.0,36
36,5,1,16.0,0.0,37
37,6,1,16.0,0.0,38
38,7,1,16.0,0.0,39
39,8,3,16.0,0.0,40
40,1,1,20.0,0.0,41
41,2,5,20.0,0.0,42
42,3,6,20.0,0.0,43
43,4,3,20.0,0.0,44
44,5,1,20.0,0.0,45
45,6,1,20.0,0.0,46
46,7,5,20.0,0.0,47
47,8,1,20.0,0.0,48
48,1,1,24.0,0.0,49
49,2,5,24.0,0.0,50
50,3,1,24.0,0.0,51
51,4,3,24.0,0.0,52
52,5,1,24.0,0.0,53
53,6,1,24.0,0.0,54
54,7,5,24.0,0.0,55
55,8,1,24.0,0.0,56
56,1,1,28.0,0.0,57
57,2,6,28.0,0.0,58
58,3,1,28.0,0.0,59
59,4,1,28.0,0.0,60
60,5,1,28.0,0.0,61
61,6,1,28.0,0.0,62
62,7,6,28.0,0.0,63
63,8,1,28.0,0.0,64
64,1,1,32.0,0.0,65
65,2,1,32.0,0.0,66
66,3,1,32.0,0.0,67
67,4,1,32.0,0.0,68
68,5,1,32.0,0.0,69
69,6,1,32.0,0.0,70
70,7,1,32.0,0.0,71
71,8,1,32.0,0.0,72
72,1,1,36.0,0.0,73
73,2,1,36.0,0.0,74
74,3,1,36.0,0.0,75
75,4,1,36.0,0.0,76
76,5,1,36.0,0.0,77
77,6,1,36.0,0.0,78
78,7,1,36.0,0.0,79
79,8,1,36.0,0.0,80
80,1,1,40.0,0.0,81
81,2,1,40.0,0.0,82
82,3,1,40.0,0.0,83
83,4,1,40.0,0.0,84
84,5,1,40.0,0.0,85
85,6,1,40.0,0.0,86
86,7,5,40.0,0.0,87
87,8,2,40.0,0.0,88
88,1,1,44.0,0.0,89
89,2,1,44.0,0.0,90
90,3,1,44.0,0.0,91
91,4,5,44.0,0.0,92
92,5,5,44.0,0.0,93
93,6,6,44.0,0.0,94
94,7,5,44.0,0.0,95
95,8,6,44.0,0.0,96
96,1,1,48.0,0.0,97
97,2,1,48.0,0.0,98
98,3,1,48.0,0.0,99
99,4,5,48.0,0.0,100
100,5,5,48.0,0.0,101
101,6,3,48.0,0.0,102
102,7,1,48.0,0.0,103
103,8,6,48.0,0.0,104
104,1,1,52.0,0.0,105
105,2,1,52.0,0.0,106
106,3,5,52.0,0.0,107
107,4,5,52.0,0.0,108
108,5,1,52.0,0.0,109
109,6,6,52.0,0.0,110
110,7,1,52.0,0.0,111
111,8,1,52.0,0.0,112
112,1,1,56.0,0.0,113
113,2,1,56.0,0.0,114
114,3,5,56.0,0.0,115
115,4,1,56.0,0.0,116
116,5,1,56.0,0.0,117
117,6,3,56.0,0.0,118
118,7,1,56.0,0.0,119
119,8,1,56.0,0.0,120
120,1,1,60.0,0.0,121
121,2,1,60.0,0.0,122
122,3,1,60.0,0.0,123
123,4,1,60.0,0.0,124
124,5,1,60.0,0.0,125
125,6,6,60.0,0.0,126
126,7,1,60.0,0.0,127
127,8,1,60.0,0.0,128
128,1,1,64.0,0.0,129
129,2,5,64.0,0.0,130
130,3,1,64.0,0.0,131
131,4,1,64.0,0.0,132
132,5,6,64.0,0.0,133
133,6,1,64.0,0.0,134
134,7,5,64.0,0.0,135
135,8,1,64.0,0.0,136
136,1,1,68.0,0.0,137
137,2,5,68.0,0.0,138
138,3,1,68.0,0.0,139
139,4,1,68.0,0.0,140
140,5,6,68.0,0.0,141
141,6,1,68.0,0.0,142
142,7,3,68.0,0.0,143
143,8,1,68.0,0.0,144
144,1,1,72.0,0.0,145
145,2,5,72.0,0.0,146
146,3,1,72.0,0.0,147
147,4,1,72.0,0.0,148
148,5,6,72.0,0.0,149
149,6,5,72.0,0.0,150
150,7,3,72.0,0.0,151
151,8,1,72.0,0.0,152
152,1,1,76.0,0.0,153
153,2,6,76.0,0.0,154
154,3,3,76.0,0.0,155
155,4,1,76.0,0.0,156
156,5,6,76.0,0.0,157
157,6,3,76.0,0.0,158
158,7,3,76.0,0.0,159
159,8,1,76.0,0.0,160
160,1,1,80.0,0.0,161
161,2,6,80.0,0.0,162
162,3,5,80.0,0.0,163
163,4,1,80.0,0.0,164
164,5,6,80.0,0.0,165
165,6,1,80.0,0.0,166
166,7,1,80.0,0.0,167
167,8,1,80.0,0.0,168
168,1,6,84.0,0.0,169
169,2,1,84.0,0.0,170
170,3,5,84.0,0.0,171
171,4,1,84.0,0.0,172
172,5,5,84.0,0.0,173
173,6,1,84.0,0.0,174
174,7,1,84.0,0.0,175
175,8,2,84.0,0.0,176
176,1,1,88.0,0.0,177
177,2,1,88.0,0.0,178
178,3,1,88.0,0.0,179
179,4,1,88.0,0.0,180
180,5,5,88.0,0.0,181
181,6,1,88.0,0.0,182
182,7,1,88.0,0.0,183
183,8,6,88.0,0.0,184
184,1,1,92.0,0.0,185
185,2,5,92.0,0.0,186
186,3,1,92.0,0.0,187
187,4,5,92.0,0.0,188
188,5,3,92.0,0.0,189
189,6,3,92.0,0.0,190
190,7,3,92.0,0.0,191
191,8,6,92.0,0.0,192
192,1,1,96.0,0.0,193
193,2,1,96.0,0.0,194
194,3,1,96.0,0.0,195
195,4,1,96.0,0.0,196
196,5,1,96.0,0.0,197
197,6,3,96.0,0.0,198
198,7,3,96.0,0.0,199
199,8,1,96.0,0.0,200
200,1,3,100.0,0.0,201
201,2,5,100.0,0.0,202
202,3,1,100.0,0.0,203
203,4,1,100.0,0.0,204
204,5,1,100.0,0.0,205
205,6,1,100.0,0.0,206
206,7,1,100.0,0.0,207
207,8,1,100.0,0.0,208
208,1,3,104.0,0.0,209
209,2,3,104.0,0.0,210
210,3,1,104.0,0.0,211
211,4,1,104.0,0.0,212
212,5,1,104.0,0.0,213
213,6,1,104.0,0.0,214
214,7,1,104.0,0.0,215
215,8,1,104.0,0.0,216
216,1,3,108.0,0.0,217
217,2,6,108.0,0.0,218
218,3,1,108.0,0.0,219
219,4,1,108.0,0.0,220
220,5,1,108.0,0.0,221
221,6,1,108.0,0.0,222
222,7,6,108.0,0.0,223
223,8,1,108.0,0.0,224
224,1,3,112.0,0.0,225
225,2,6,112.0,0.0,226
226,3,1,112.0,0.0,227
227,4,1,112.0,0.0,228
228,5,5,112.0,0.0,229
229,6,1,112.0,0.0,230
230,7,4,112.0,0.0,231
231,8,1,112.0,0.0,232
232,1,6,116.0,0.0,233
233,2,1,116.0,0.0,234
234,3,1,116.0,0.0,235
235,4,1,116.0,0.0,236
236,5,5,116.0,0.0,237
237,6,1,116.0,0.0,238
238,7,5,116.0,0.0,239
239,8,1,116.0,0.0,240
240,1,3,120.0,0.0,241
241,2,1,120.0,0.0,242
242,3,1,120.0,0.0,243
243,4,1,120.0,0.0,244
244,5,5,120.0,0.0,245
245,6,5,120.0,0.0,246
246,7,1,120.0,0.0,247
247,8,1,120.0,0.0,248
248,1,3,124.0,0.0,249
249,2,1,124.0,0.0,250
250,3,1,124.0,0.0,251
251,4,1,124.0,0.0,252
252,5,1,124.0,0.0,253
253,6,5,124.0,0.0,254
254,7,5,124.0,0.0,255
255,8,1,124.0,0.0,256
256,1,3,128.0,0.0,257
257,2,1,128.0,0.0,258
258,3,1,128.0,0.0,259
259,4,1,128.0,0.0,260
260,5,1,128.0,0.0,261
261,6,5,128.0,0.0,262
262,7,5,128.0,0.0,263
263,8,1,128.0,0.0,264
264,1,5,132.0,0.0,265
265,2,1,132.0,0.0,266
266,3,1,132.0,0.0,267
267,4,4,132.0,0.0,268
268,5,1,132.0,0.0,269
269,6,5,132.0,0.0,270
270,7,6,132.0,0.0,271
271,8,1,132.0,0.0,272
272,1,5,136.0,0.0,273
273,2,1,136.0,0.0,274
274,3,1,136.0,0.0,275
275,4,5,136.0,0.0,276
276,5,1,136.0,0.0,277
277,6,5,136.0,0.0,278
278,7,1,136.0,0.0,279
279,8,1,136.0,0.0,280
280,1,1,140.0,0.0,281
281,2,1,140.0,0.0,282
282,3,1,140.0,0.0,283
283,4,6,140.0,0.0,284
284,5,1,140.0,0.0,285
285,6,3,140.0,0.0,286
286,7,1,140.0,0.0,287
287,8,2,140.0,0.0,288
288,1,1,144.0,0.0,289
289,2,1,144.0,0.0,290
290,3,1,144.0,0.0,291
291,4,6,144.0,0.0,292
292,5,1,144.0,0.0,293
293,6,3,144.0,0.0,294
294,7,1,144.0,0.0,295
295,8,1,144.0,0.0,296
296,1,1,148.0,0.0,297
297,2,1,148.0,0.0,298
298,3,1,148.0,0.0,299
